21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,21
21,,,,,,,,,,,,,21,,,,,,21,,,,,,,,,,22
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
22,,,,,,,,,,,,,21,,,,,,21,,,,,,,,,,21
21,,,,,,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21
21,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21
22,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21
21,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22
21,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21
22,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,90
21,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,90
21,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,90
22,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,22
21,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,21
21,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21
22,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21
21,21,21,22,21,,21,22,21,21,22,21,21,21,22,21,21,22,21,21,22,21,21,,22,21,21,,22,21
22,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,22
21,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,21
21,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,21
22,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,22
21,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,21
21,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,21
22,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,22
21,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,21
21,,,,,,,,,,,,,,,,,,,,,21,,,,21,,,,21
22,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,22
21,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,21
21,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,21
21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,22,21,21,21,21,22,21,21
